ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_2693895,23016.66,0,449.4048,42,19117.96,0,493.0196,36,18750.85,0,440.4336,37,10456.07,0,255.0951,53,13260.83,0,240.1991,38,15967.59,0,373.7979,38,18506.34,0,411.9617,48,9918.525,0,240.0376,48,16298.93,0,517.4924,33,29014.24,0,654.4615,40,19557.17,0,368.5493,32,20625.6,0,456.9037,52,19436.3,0,502.3986,37,14174.04,0,433.6788,38,15371.76,0,256.4778,42,17898.73,0,527.0396,41
ILMN_2639189,137.2247,0.03759398,8.451957,29,119.6778,0.06015038,8.057485,23,152.0838,0.02130326,11.1048,31,118.1195,0.04385965,8.402921,28,118.8205,0.06140351,5.967201,40,163.2365,0.003759399,16.3244,24,100.9258,0.04260652,6.883995,32,137.5765,0.02005013,8.761133,32,137.6277,0.03132832,9.437029,34,165.4684,0.01754386,14.74314,28,103.3576,0.06390978,7.723181,37,136.7037,0.04260652,10.2929,23,115.8153,0.02380952,8.874398,35,105.313,0.07142857,8.601732,25,116.8847,0.04511278,7.638619,34,122.0385,0.03132832,11.00362,28
ILMN_2776681,646.5748,0,26.42412,41,588.1332,0,25.06955,41,895.3149,0,32.05742,46,573.1276,0,21.73749,43,832.9502,0,34.13126,40,578.0414,0,28.59914,45,459.3083,0,24.36233,45,612.6688,0,27.12624,48,611.0231,0,32.12606,50,891.3541,0,49.79609,46,499.3175,0,21.9629,45,668.9967,0,32.90491,39,483.1141,0,28.35128,37,444.5911,0,28.14247,34,510.8928,0,24.45144,47,535.8578,0,22.25031,37
ILMN_1240537,165.1677,0.0112782,8.323287,47,160.2857,0.01002506,8.649489,48,119.5669,0.0914787,6.183411,41,120.7681,0.04135338,7.270158,46,107.0431,0.1115288,4.308888,62,140.511,0.02255639,6.765541,42,99.53364,0.04636591,5.970183,39,155.7998,0.00877193,7.956692,51,159.2431,0.01002506,14.21713,29,180.9866,0.007518797,12.41654,39,130.067,0.00877193,10.1127,45,182.9227,0.006265664,13.56157,44,119.8242,0.01754386,7.00341,51,129.2478,0.01253133,9.118355,38,115.0033,0.05263158,5.481949,39,125.4437,0.02756892,5.650261,55
ILMN_2607858,65.06316,0.9097744,3.289769,40,63.21225,0.8809524,3.75794,28,63.56896,0.9423559,2.967246,49,55.99047,0.9511278,3.101285,40,61.31972,0.8947368,3.070614,43,61.5468,0.914787,3.81794,26,64.69106,0.5614035,4.077627,41,61.83345,0.8909774,3.055236,38,68.86331,0.820802,4.777019,44,67.86354,0.9423559,3.684909,34,57.43748,0.9461153,3.470752,35,64.85564,0.906015,4.050732,40,64.42297,0.7493734,3.273657,60,62.48475,0.8408521,3.578924,49,65.02663,0.8095238,3.435406,42,63.30974,0.8408521,3.649703,35
ILMN_1236932,56.46428,0.9937344,3.568835,29,70.53332,0.660401,5.507245,34,62.85029,0.9561403,4.358333,40,61.94605,0.820802,5.78434,27,62.55236,0.8634085,3.318587,38,75.24021,0.5075188,4.318245,46,58.85607,0.8107769,4.018244,28,60.85187,0.9097744,4.445564,32,79.9226,0.4736842,5.770377,38,75.81745,0.7731829,5.2039,39,71.05937,0.5200501,5.352246,39,69.51418,0.8095238,4.496327,41,58.70286,0.9197995,3.101253,37,73.35774,0.4611529,4.80891,49,71.53123,0.6015037,4.678463,38,66.40787,0.7305765,4.687697,27
ILMN_2727893,2209.567,0,49.71282,36,2046.515,0,58.68783,41,2369.351,0,59.60097,42,1714.838,0,68.46852,39,1897.295,0,60.09737,44,2102.56,0,72.00058,44,1431.707,0,46.79603,39,1937.166,0,71.23244,40,2480.087,0,65.93262,36,2546.609,0,77.44341,30,1990.168,0,52.55612,36,2322.545,0,103.0595,45,1555.483,0,45.95595,44,1977.939,0,60.04215,42,1746.873,0,47.83685,47,1645.223,0,51.39613,60
ILMN_2746968,2434.816,0,75.42213,37,2372.817,0,73.37521,36,2688.429,0,86.87942,39,1916.283,0,62.77236,36,2273.054,0,74.69386,39,2594.324,0,92.75129,32,1349.528,0,52.67093,35,2267.755,0,57.25495,49,2458.03,0,91.25294,39,2859.879,0,83.20507,37,1837.571,0,59.75389,44,2658.013,0,135.9889,30,1840.915,0,52.17601,44,1924.023,0,71.36821,27,1855.167,0,36.29578,55,1913.464,0,64.24977,37
ILMN_2865552,88.71709,0.3433584,4.476765,36,87.72711,0.2568922,5.026452,39,109.862,0.1428571,5.319963,42,101.5508,0.1027569,7.02249,42,92.44675,0.2105263,4.692756,51,105.6995,0.1290727,6.559392,43,80.82432,0.1779449,4.612348,57,107.5674,0.09649123,5.628736,57,95.09769,0.2230576,5.651669,53,123.2801,0.1077694,8.193022,40,65.48994,0.7280702,5.325745,49,107.2328,0.1503759,7.292444,50,92.92738,0.1265664,7.165095,39,94.02737,0.1328321,7.276508,41,85.24483,0.2807018,4.446274,51,79.04036,0.3696742,3.851551,40
ILMN_2607196,1319.045,0,38.1499,44,1026.828,0,41.64787,34,1389.086,0,45.03614,48,974.2314,0,31.50004,44,927.8765,0,31.11804,37,1080.141,0,34.1437,46,726.5994,0,31.83745,39,939.4512,0,29.81219,46,1214.742,0,43.97533,38,1370.749,0,48.90268,43,1021.748,0,35.31333,42,1374.453,0,59.56693,37,796.122,0,35.09017,42,981.2203,0,47.9846,38,828.4874,0,27.27168,30,860.8847,0,31.49994,47
ILMN_1235939,132.0589,0.05012531,9.283358,34,144.2983,0.01754386,13.03168,30,155.057,0.02005013,14.94587,25,113.7282,0.04887218,8.876431,29,137.1873,0.02255639,10.94958,30,130.2526,0.03383459,11.43936,23,111.3767,0.02506266,6.544309,38,106.6504,0.1027569,7.792644,19,145.9874,0.02130326,12.31118,36,114.7832,0.1553885,10.46857,28,123.3422,0.01879699,7.842712,38,156.4717,0.0112782,11.96078,28,128.4371,0.01378446,9.034033,34,117.6213,0.03884712,10.87556,36,118.3705,0.04010025,8.329295,33,108.5947,0.0802005,8.515981,26
ILMN_2725647,64.50667,0.9210526,3.571826,37,81.19914,0.3671679,6.466858,29,80.78376,0.4774436,4.822504,34,69.55152,0.5651629,4.405025,24,62.67975,0.8596491,4.306744,32,65.5451,0.820802,3.383953,28,66.61552,0.4786967,3.845613,28,80.59548,0.3596491,5.040763,38,88.42486,0.3145363,6.302575,28,88.42905,0.4310777,5.176194,32,76.15834,0.3596491,5.283627,39,71.50502,0.7493734,4.433977,32,70.29022,0.5300752,4.106668,40,72.92793,0.4686717,6.272113,40,73.04604,0.5614035,3.361308,41,67.05951,0.7055138,4.210953,34
ILMN_2621882,8251.051,0,156.4435,29,7445.101,0,283.4949,37,8224.87,0,284.7655,41,6288.527,0,255.2774,35,8051.328,0,314.2118,30,7649.544,0,188.6578,37,5064.24,0,160.9374,38,7985.109,0,272.3481,45,8787.575,0,257.5774,50,10171.75,0,338.993,29,6262.168,0,183.5442,32,6469.229,0,523.2203,38,6090.161,0,162.9625,38,6082.281,0,166.6561,27,6555.918,0,156.2829,36,6701.514,0,341.5472,46
ILMN_1244848,92.08105,0.2907268,5.239042,37,82.37608,0.3471178,4.344904,39,80.42539,0.481203,4.584391,46,69.24397,0.5776942,3.684412,39,83.33023,0.3220551,5.20044,45,89.95152,0.2518797,5.004363,40,71.00756,0.3709273,3.50107,36,81.59546,0.3345865,4.498739,34,97.13623,0.2017544,5.750633,37,86.36004,0.481203,3.630691,32,79.84228,0.2869674,5.179459,40,89.20807,0.3320802,5.375521,39,85.70569,0.20802,4.640705,47,82.26212,0.2706767,4.118363,46,89.66825,0.2117794,5.632787,40,88.30823,0.2042606,5.233957,41
ILMN_2630756,414.216,0,21.98148,32,401.9722,0,21.7777,28,416.4811,0,15.11565,42,381.0722,0,16.77276,43,311.4518,0,12.8297,47,351.5629,0,19.54519,31,258.1356,0,11.89183,32,387.2129,0,17.68978,32,480.164,0,19.71383,43,479.9386,0,30.43355,37,367.0924,0,23.31697,27,393.2768,0,16.30723,34,295.6894,0,21.47953,30,315.3635,0,20.05312,35,300.2393,0,16.48845,31,425.1804,0,18.97355,35
